frame_id,timestamp,source,landmark_name,x_norm,y_norm,z_norm,handedness,visibility
30,2.831411838531494,HAND_0,WRIST_HAND,0.36567968130111694,0.9880191683769226,6.568433263964835e-07,Left,
30,2.831411838531494,HAND_0,INDEX_FINGER_TIP,0.11232932657003403,0.7145731449127197,-0.1309436857700348,Left,
31,2.9186904430389404,HAND_0,WRIST_HAND,0.372296005487442,0.9895322918891907,8.728214879738516e-07,Left,
31,2.9186904430389404,HAND_0,INDEX_FINGER_TIP,0.11380502581596375,0.6934463381767273,-0.1328512579202652,Left,
32,3.017939805984497,HAND_0,WRIST_HAND,0.34715643525123596,0.9551675915718079,8.495014185427863e-07,Left,
32,3.017939805984497,HAND_0,INDEX_FINGER_TIP,0.09246458113193512,0.6463544368743896,-0.1502361297607422,Left,
33,3.118708372116089,HAND_0,WRIST_HAND,0.3237375020980835,0.9396032691001892,6.825266609666869e-07,Left,
33,3.118708372116089,HAND_0,INDEX_FINGER_TIP,0.0734783411026001,0.6159812211990356,-0.11803536862134933,Left,
34,3.1980276107788086,HAND_0,WRIST_HAND,0.3185786008834839,0.9321615099906921,5.68868756545271e-07,Left,
34,3.1980276107788086,HAND_0,INDEX_FINGER_TIP,0.06412334740161896,0.6050771474838257,-0.10202526301145554,Left,
35,3.327908515930176,POSE,LEFT_SHOULDER,0.24393853545188904,0.7317836880683899,0.18380682170391083,,0.9965112805366516
35,3.327908515930176,POSE,RIGHT_SHOULDER,0.17277948558330536,0.7950507402420044,0.1694047898054123,,0.9962162375450134
35,3.327908515930176,HAND_0,WRIST_HAND,0.29282358288764954,0.8961746096611023,5.462494527819217e-07,Left,
35,3.327908515930176,HAND_0,INDEX_FINGER_TIP,0.03348486125469208,0.5868276953697205,-0.09126414358615875,Left,
36,3.422278881072998,POSE,LEFT_SHOULDER,0.22899559140205383,0.7171669006347656,0.10458837449550629,,0.9947730898857117
36,3.422278881072998,POSE,RIGHT_SHOULDER,0.14926017820835114,0.7803808450698853,0.09576307982206345,,0.9959489107131958
36,3.422278881072998,HAND_0,WRIST_HAND,0.2612147927284241,0.8674501180648804,6.069649316486903e-07,Left,
36,3.422278881072998,HAND_0,INDEX_FINGER_TIP,-0.0004930347204208374,0.5611439347267151,-0.10236873477697372,Left,
37,3.5177650451660156,HAND_0,WRIST_HAND,0.2522433400154114,0.8633582592010498,5.449409741231648e-07,Left,
37,3.5177650451660156,HAND_0,INDEX_FINGER_TIP,-0.011696487665176392,0.5548068284988403,-0.10789790749549866,Left,
38,3.601778268814087,HAND_0,WRIST_HAND,0.23675869405269623,0.8515318036079407,5.414547104010126e-07,Left,
