frame_id,timestamp,source,landmark_name,x_norm,y_norm,z_norm,visibility,handedness
1,0.8241562843322754,POSE,LEFT_SHOULDER,0.7658806443214417,0.9258095026016235,-0.17181560397148132,0.9990793466567993,
1,0.8241562843322754,POSE,RIGHT_SHOULDER,0.33312585949897766,0.9443260431289673,-0.28018227219581604,0.9990711212158203,
2,0.9222352504730225,POSE,LEFT_SHOULDER,0.7668660879135132,0.9263858795166016,-0.1668003797531128,0.999030590057373,
2,0.9222352504730225,POSE,RIGHT_SHOULDER,0.3328798711299896,0.9452235102653503,-0.2873588502407074,0.9990764260292053,
3,1.0017318725585938,POSE,LEFT_SHOULDER,0.7677960395812988,0.9268274903297424,-0.17501148581504822,0.9989606738090515,
3,1.0017318725585938,POSE,RIGHT_SHOULDER,0.3328733742237091,0.9453939199447632,-0.298313170671463,0.9990543127059937,
4,1.0738489627838135,POSE,LEFT_SHOULDER,0.7687484622001648,0.9278374314308167,-0.1830001026391983,0.9989098310470581,
4,1.0738489627838135,POSE,RIGHT_SHOULDER,0.33287379145622253,0.9461435675621033,-0.3040188252925873,0.9990635514259338,
5,1.1466951370239258,POSE,LEFT_SHOULDER,0.7698205709457397,0.9285633563995361,-0.1723366379737854,0.99885094165802,
5,1.1466951370239258,POSE,RIGHT_SHOULDER,0.33285826444625854,0.9463131427764893,-0.3028017580509186,0.9990566372871399,
6,1.2293810844421387,POSE,LEFT_SHOULDER,0.770106315612793,0.9290861487388611,-0.16721825301647186,0.9988067150115967,
6,1.2293810844421387,POSE,RIGHT_SHOULDER,0.333578497171402,0.9466529488563538,-0.3000577390193939,0.9990667700767517,
7,1.3144943714141846,POSE,LEFT_SHOULDER,0.7710497975349426,0.9299352169036865,-0.16732287406921387,0.9987568855285645,
7,1.3144943714141846,POSE,RIGHT_SHOULDER,0.3335815966129303,0.948311984539032,-0.3003115952014923,0.9990745782852173,
8,1.3993496894836426,POSE,LEFT_SHOULDER,0.7710655927658081,0.9303480982780457,-0.16656647622585297,0.9987417459487915,
8,1.3993496894836426,POSE,RIGHT_SHOULDER,0.3335663676261902,0.9484099745750427,-0.29528576135635376,0.9990784525871277,
9,1.471367597579956,POSE,LEFT_SHOULDER,0.7709915041923523,0.9303569197654724,-0.16316348314285278,0.9987527132034302,
9,1.471367597579956,POSE,RIGHT_SHOULDER,0.3335636258125305,0.9485675692558289,-0.29507821798324585,0.9990803003311157,
10,1.5557997226715088,POSE,LEFT_SHOULDER,0.7709997296333313,0.9302982091903687,-0.16326865553855896,0.9987117052078247,
10,1.5557997226715088,POSE,RIGHT_SHOULDER,0.3345225751399994,0.9486396312713623,-0.28996700048446655,0.9990668296813965,
11,1.6319057941436768,POSE,LEFT_SHOULDER,0.7710598707199097,0.9310694336891174,-0.17187966406345367,0.9986708760261536,
11,1.6319057941436768,POSE,RIGHT_SHOULDER,0.33451715111732483,0.949112594127655,-0.28871458768844604,0.9990584850311279,
12,1.7036144733428955,POSE,LEFT_SHOULDER,0.7717294692993164,0.9310771822929382,-0.18425685167312622,0.9987046718597412,
12,1.7036144733428955,POSE,RIGHT_SHOULDER,0.3344951272010803,0.9489601850509644,-0.29792559146881104,0.9991005063056946,
13,1.7832744121551514,POSE,LEFT_SHOULDER,0.7717451453208923,0.9309503436088562,-0.18268708884716034,0.9987269639968872,
13,1.7832744121551514,POSE,RIGHT_SHOULDER,0.33446452021598816,0.9440874457359314,-0.2990627884864807,0.999125599861145,
14,1.863020658493042,POSE,LEFT_SHOULDER,0.7731401324272156,0.93094402551651,-0.18224036693572998,0.9986546039581299,
14,1.863020658493042,POSE,RIGHT_SHOULDER,0.3339276611804962,0.933641254901886,-0.3031383156776428,0.9991215467453003,
15,1.9409520626068115,POSE,LEFT_SHOULDER,0.7730713486671448,0.9299284219741821,-0.1819111406803131,0.9986101388931274,
15,1.9409520626068115,POSE,RIGHT_SHOULDER,0.3323247730731964,0.9306632876396179,-0.30366775393486023,0.9991185665130615,
16,2.0149803161621094,POSE,LEFT_SHOULDER,0.7731131911277771,0.926827073097229,-0.18823465704917908,0.9985847473144531,
16,2.0149803161621094,POSE,RIGHT_SHOULDER,0.3323332369327545,0.9223515391349792,-0.30330216884613037,0.9991277456283569,
17,2.0897722244262695,POSE,LEFT_SHOULDER,0.7731117606163025,0.9122469425201416,-0.23982343077659607,0.9985352158546448,
17,2.0897722244262695,POSE,RIGHT_SHOULDER,0.3331323266029358,0.9065981507301331,-0.303753525018692,0.9991277456283569,
18,2.1554388999938965,POSE,LEFT_SHOULDER,0.7732006907463074,0.9033271074295044,-0.24191288650035858,0.9985271096229553,
18,2.1554388999938965,POSE,RIGHT_SHOULDER,0.333141028881073,0.9034372568130493,-0.3132361173629761,0.9991171956062317,
19,2.229156732559204,POSE,LEFT_SHOULDER,0.7751892805099487,0.8981170058250427,-0.23156797885894775,0.9985569715499878,
19,2.229156732559204,POSE,RIGHT_SHOULDER,0.3377191126346588,0.8920724987983704,-0.2935780882835388,0.9991196393966675,
20,2.294377088546753,POSE,LEFT_SHOULDER,0.7763301134109497,0.8970533609390259,-0.23091503977775574,0.9985267519950867,
20,2.294377088546753,POSE,RIGHT_SHOULDER,0.3377968668937683,0.8796138167381287,-0.2857311964035034,0.9991134405136108,
21,2.368626117706299,POSE,LEFT_SHOULDER,0.7763181924819946,0.8927923440933228,-0.22717514634132385,0.9984742999076843,
21,2.368626117706299,POSE,RIGHT_SHOULDER,0.3377186059951782,0.8772051334381104,-0.2928418517112732,0.9991024732589722,
